EarthquakeNo,AreaDesc,CountyName,StationName,StationID,SeismicIntensity,EpicenterDistance,EWComponent_pga,NSComponent_pga,VComponent_pga,EWComponent_pgv,NSComponent_pgv,VComponent_pgv,WaveImageURI
114115,臺東縣地區,臺東縣,東河,EDH,1級,81.11,1.74,1.89,0.75,0.08,0.1,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-EDH.gif
114115,臺東縣地區,臺東縣,臺東市,TTN,1級,81.87,1.62,1.26,0.59,0.1,0.08,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-TTN.gif
114115,臺東縣地區,臺東縣,成功,CHK,1級,83.56,1.27,1.43,0.68,0.08,0.08,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-CHK.gif
114115,臺東縣地區,臺東縣,太麻里,ECL,1級,83.71,1.17,1.27,0.65,0.05,0.05,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-ECL.gif
114115,臺東縣地區,臺東縣,長濱,ECB,1級,89.72,1.42,1.1,0.64,0.09,0.1,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-ECB.gif
114115,澎湖縣地區,澎湖縣,馬公市,PNG,2級,108.88,4.97,6.05,2.04,0.11,0.13,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-PNG.gif
114115,澎湖縣地區,澎湖縣,東吉島,WDG,1級,92.97,1.05,0.65,0.7,0.1,0.05,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WDG.gif
114115,彰化縣地區,彰化縣,二林,WRL,2級,74.01,4.98,6.95,4.14,0.15,0.19,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WRL.gif
114115,彰化縣地區,彰化縣,大城,WTC,2級,72.82,3.57,2.67,1.64,0.08,0.08,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WTC.gif
114115,彰化縣地區,彰化縣,彰化市,WCHH,2級,90.84,3.98,3.42,1.69,0.08,0.07,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WCHH.gif
114115,彰化縣地區,彰化縣,員林,WYL,1級,77.63,1.59,1.8,1.52,0.06,0.07,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WYL.gif
114115,彰化縣地區,彰化縣,鹿港,B112,1級,89.38,2.54,2.28,1.6,0.08,0.06,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-B112.gif
114115,臺中市地區,臺中市,霧峰,B219,1級,87.58,1.77,1.61,0.78,0.07,0.07,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-B219.gif
114115,臺中市地區,臺中市,梧棲,WWC,1級,110.61,1.6,1.78,2.88,0.1,0.08,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WWC.gif
114115,嘉義縣地區,嘉義縣,大埔,WTP,4級,5.08,435.74,134.44,56.52,9.65,2.83,1.66,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-WTP.gif
114115,嘉義縣地區,嘉義縣,番路,WCKO,4級,19.92,20.09,25.75,5.74,0.73,1.08,0.24,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-WCKO.gif
114115,嘉義縣地區,嘉義縣,太保市,CHY1,4級,36.14,56.78,54.66,19.15,1.36,1.1,0.29,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-CHY1.gif
